date,sku,qty,amount,region
2025-01-01,WIDGET-1,4,63.99,west
2025-02-02,WIDGET-PRO,1,83.45,east
2025-03-03,CABLE-USB,5,226.67,north
2025-04-04,DOCK-HDMI,5,342.12,south
2025-05-05,KEYCAP-SET,8,351.82,eu
2025-06-06,INVOICE-PAD,6,342.24,apac
2025-07-07,WIDGET-1,12,561.42,west
2025-08-08,WIDGET-PRO,8,219.96,east
2025-09-09,CABLE-USB,2,68.13,north
2025-10-10,DOCK-HDMI,13,519.19,south
2025-11-11,KEYCAP-SET,12,637.47,eu
2025-12-12,INVOICE-PAD,8,381.57,apac
2025-01-13,WIDGET-1,13,273.91,west
2025-02-14,WIDGET-PRO,8,99.51,east
2025-03-15,CABLE-USB,1,30.86,north
2025-04-16,DOCK-HDMI,10,499.24,south
2025-05-17,KEYCAP-SET,9,105.36,eu
2025-06-18,INVOICE-PAD,6,495.09,apac
2025-07-19,WIDGET-1,7,504.74,west
2025-08-20,WIDGET-PRO,13,97.39,east
2025-09-21,CABLE-USB,12,904.63,north
2025-10-22,DOCK-HDMI,6,285.06,south
2025-11-23,KEYCAP-SET,4,56.59,eu
2025-12-24,INVOICE-PAD,13,275.29,apac
2025-01-25,WIDGET-1,8,510.91,west
2025-02-26,WIDGET-PRO,1,46.59,east
2025-03-27,CABLE-USB,4,219.71,north
2025-04-28,DOCK-HDMI,6,298.14,south
2025-05-01,KEYCAP-SET,3,60.14,eu
2025-06-02,INVOICE-PAD,13,265.37,apac
2025-07-03,WIDGET-1,4,258.55,west
2025-08-04,WIDGET-PRO,3,22.15,east
2025-09-05,CABLE-USB,3,68.20,north
2025-10-06,DOCK-HDMI,2,99.51,south
2025-11-07,KEYCAP-SET,8,610.05,eu
2025-12-08,INVOICE-PAD,11,282.16,apac
2025-01-09,WIDGET-1,5,369.15,west
2025-02-10,WIDGET-PRO,10,818.49,east
2025-03-11,CABLE-USB,7,359.72,north
2025-04-12,DOCK-HDMI,12,398.88,south
2025-05-13,KEYCAP-SET,10,246.27,eu
2025-06-14,INVOICE-PAD,12,1064.47,apac
2025-07-15,WIDGET-1,3,223.55,west
2025-08-16,WIDGET-PRO,5,161.55,east
2025-09-17,CABLE-USB,4,184.43,north
2025-10-18,DOCK-HDMI,1,18.40,south
2025-11-19,KEYCAP-SET,6,57.44,eu
2025-12-20,INVOICE-PAD,4,269.23,apac
2025-01-21,WIDGET-1,6,415.36,west
2025-02-22,WIDGET-PRO,9,590.68,east
2025-03-23,CABLE-USB,3,10.75,north
2025-04-24,DOCK-HDMI,9,585.00,south
2025-05-25,KEYCAP-SET,13,106.36,eu
2025-06-26,INVOICE-PAD,12,235.26,apac
2025-07-27,WIDGET-1,2,93.65,west
2025-08-28,WIDGET-PRO,2,48.36,east
2025-09-01,CABLE-USB,6,246.78,north
2025-10-02,DOCK-HDMI,7,282.47,south
2025-11-03,KEYCAP-SET,6,153.02,eu
2025-12-04,INVOICE-PAD,5,45.11,apac
2025-01-05,WIDGET-1,6,101.40,west
2025-02-06,WIDGET-PRO,3,19.30,east
2025-03-07,CABLE-USB,5,391.18,north
2025-04-08,DOCK-HDMI,4,73.99,south
2025-05-09,KEYCAP-SET,11,670.98,eu
2025-06-10,INVOICE-PAD,10,889.07,apac
2025-07-11,WIDGET-1,5,307.35,west
2025-08-12,WIDGET-PRO,6,353.82,east
2025-09-13,CABLE-USB,4,289.14,north
2025-10-14,DOCK-HDMI,13,348.28,south
2025-11-15,KEYCAP-SET,10,449.20,eu
2025-12-16,INVOICE-PAD,8,230.69,apac
2025-01-17,WIDGET-1,11,271.54,west
2025-02-18,WIDGET-PRO,2,107.43,east
2025-03-19,CABLE-USB,5,415.14,north
2025-04-20,DOCK-HDMI,4,290.44,south
2025-05-21,KEYCAP-SET,6,143.54,eu
2025-06-22,INVOICE-PAD,7,453.42,apac
2025-07-23,WIDGET-1,4,314.63,west
2025-08-24,WIDGET-PRO,9,782.21,east
2025-09-25,CABLE-USB,13,702.92,north
2025-10-26,DOCK-HDMI,6,81.24,south
2025-11-27,KEYCAP-SET,2,114.08,eu
2025-12-28,INVOICE-PAD,7,445.60,apac
2025-01-01,WIDGET-1,12,885.37,west
2025-02-02,WIDGET-PRO,11,278.34,east
2025-03-03,CABLE-USB,3,256.27,north
2025-04-04,DOCK-HDMI,12,674.41,south
2025-05-05,KEYCAP-SET,7,33.71,eu
2025-06-06,INVOICE-PAD,13,461.27,apac
2025-07-07,WIDGET-1,3,221.86,west
2025-08-08,WIDGET-PRO,6,26.43,east
2025-09-09,CABLE-USB,8,591.21,north
2025-10-10,DOCK-HDMI,3,186.58,south
2025-11-11,KEYCAP-SET,8,406.80,eu
2025-12-12,INVOICE-PAD,4,50.31,apac
2025-01-13,WIDGET-1,13,137.42,west
2025-02-14,WIDGET-PRO,13,1120.95,east
2025-03-15,CABLE-USB,1,21.85,north
2025-04-16,DOCK-HDMI,1,45.49,south
2025-05-17,KEYCAP-SET,4,68.28,eu
2025-06-18,INVOICE-PAD,13,499.61,apac
2025-07-19,WIDGET-1,9,643.55,west
2025-08-20,WIDGET-PRO,2,157.56,east
2025-09-21,CABLE-USB,1,6.97,north
2025-10-22,DOCK-HDMI,8,172.00,south
2025-11-23,KEYCAP-SET,10,716.92,eu
2025-12-24,INVOICE-PAD,11,937.51,apac
2025-01-25,WIDGET-1,13,317.51,west
2025-02-26,WIDGET-PRO,6,125.70,east
2025-03-27,CABLE-USB,7,523.97,north
2025-04-28,DOCK-HDMI,1,51.06,south
2025-05-01,KEYCAP-SET,3,266.98,eu
2025-06-02,INVOICE-PAD,10,331.81,apac
2025-07-03,WIDGET-1,5,260.58,west
2025-08-04,WIDGET-PRO,12,1047.64,east
2025-09-05,CABLE-USB,3,108.90,north
2025-10-06,DOCK-HDMI,11,159.36,south
2025-11-07,KEYCAP-SET,7,344.91,eu
2025-12-08,INVOICE-PAD,1,70.41,apac
2025-01-09,WIDGET-1,10,57.33,west
2025-02-10,WIDGET-PRO,6,383.32,east
2025-03-11,CABLE-USB,10,345.49,north
2025-04-12,DOCK-HDMI,2,105.72,south
2025-05-13,KEYCAP-SET,13,240.41,eu
2025-06-14,INVOICE-PAD,8,174.52,apac
2025-07-15,WIDGET-1,8,362.42,west
2025-08-16,WIDGET-PRO,4,44.19,east
2025-09-17,CABLE-USB,2,90.78,north
2025-10-18,DOCK-HDMI,6,88.06,south
2025-11-19,KEYCAP-SET,3,168.43,eu
2025-12-20,INVOICE-PAD,12,228.89,apac
2025-01-21,WIDGET-1,5,411.34,west
2025-02-22,WIDGET-PRO,5,171.74,east
2025-03-23,CABLE-USB,11,679.58,north
2025-04-24,DOCK-HDMI,1,6.58,south
2025-05-25,KEYCAP-SET,4,344.85,eu
2025-06-26,INVOICE-PAD,11,354.80,apac
2025-07-27,WIDGET-1,13,602.11,west
2025-08-28,WIDGET-PRO,11,781.82,east
2025-09-01,CABLE-USB,12,236.27,north
2025-10-02,DOCK-HDMI,10,475.48,south
2025-11-03,KEYCAP-SET,7,239.16,eu
2025-12-04,INVOICE-PAD,8,60.91,apac
2025-01-05,WIDGET-1,11,537.67,west
2025-02-06,WIDGET-PRO,5,377.35,east
2025-03-07,CABLE-USB,13,107.68,north
2025-04-08,DOCK-HDMI,7,365.61,south
2025-05-09,KEYCAP-SET,12,641.69,eu
2025-06-10,INVOICE-PAD,5,262.68,apac
2025-07-11,WIDGET-1,1,63.56,west
2025-08-12,WIDGET-PRO,11,908.57,east
2025-09-13,CABLE-USB,13,1084.35,north
2025-10-14,DOCK-HDMI,2,19.48,south
2025-11-15,KEYCAP-SET,4,61.91,eu
2025-12-16,INVOICE-PAD,2,81.85,apac
2025-01-17,WIDGET-1,8,638.30,west
2025-02-18,WIDGET-PRO,13,179.76,east
2025-03-19,CABLE-USB,5,271.75,north
2025-04-20,DOCK-HDMI,4,303.94,south
2025-05-21,KEYCAP-SET,11,494.36,eu
2025-06-22,INVOICE-PAD,12,981.85,apac
2025-07-23,WIDGET-1,2,170.57,west
2025-08-24,WIDGET-PRO,13,439.72,east
2025-09-25,CABLE-USB,7,619.11,north
2025-10-26,DOCK-HDMI,3,230.81,south
2025-11-27,KEYCAP-SET,5,151.87,eu
2025-12-28,INVOICE-PAD,4,243.95,apac
2025-01-01,WIDGET-1,8,147.85,west
2025-02-02,WIDGET-PRO,8,433.87,east
2025-03-03,CABLE-USB,5,76.65,north
2025-04-04,DOCK-HDMI,4,321.62,south
2025-05-05,KEYCAP-SET,7,545.53,eu
2025-06-06,INVOICE-PAD,6,483.05,apac
2025-07-07,WIDGET-1,7,256.50,west
2025-08-08,WIDGET-PRO,5,385.30,east
2025-09-09,CABLE-USB,9,233.69,north
2025-10-10,DOCK-HDMI,10,468.52,south
2025-11-11,KEYCAP-SET,10,640.35,eu
2025-12-12,INVOICE-PAD,3,243.64,apac
2025-01-13,WIDGET-1,8,372.65,west
2025-02-14,WIDGET-PRO,4,162.63,east
2025-03-15,CABLE-USB,13,820.12,north
2025-04-16,DOCK-HDMI,5,130.34,south
2025-05-17,KEYCAP-SET,2,127.30,eu
2025-06-18,INVOICE-PAD,6,332.13,apac
2025-07-19,WIDGET-1,7,92.63,west
2025-08-20,WIDGET-PRO,12,204.91,east
2025-09-21,CABLE-USB,5,127.29,north
2025-10-22,DOCK-HDMI,10,59.83,south
2025-11-23,KEYCAP-SET,11,629.38,eu
2025-12-24,INVOICE-PAD,8,347.84,apac
2025-01-25,WIDGET-1,6,348.42,west
2025-02-26,WIDGET-PRO,10,705.52,east
2025-03-27,CABLE-USB,11,128.01,north
2025-04-28,DOCK-HDMI,9,312.89,south
2025-05-01,KEYCAP-SET,11,288.45,eu
2025-06-02,INVOICE-PAD,3,137.98,apac
